plot.pdf	ENSG_ID	methylation_region	adj.R2	rho	rho.p-val
correlation_1:52629541-52629725_ENSDARG00000052361.pdf	ENSDARG00000052361	1:52629541-52629725	-0.17	-0.17	0.7033
correlation_14:42346935-42347022_ENSDARG00000052494.pdf	ENSDARG00000052494	14:42346935-42347022	0	0.55	0.171
correlation_4:76317209-76317551_ENSDARG00000053695.pdf	ENSDARG00000053695	4:76317209-76317551	-0.06	-0.45	0.2675
correlation_4:76317583-76317994_ENSDARG00000053695.pdf	ENSDARG00000053695	4:76317583-76317994	-0.08	-0.29	0.5008
correlation_4:76318164-76318469_ENSDARG00000053695.pdf	ENSDARG00000053695	4:76318164-76318469	0.06	-0.43	0.2992
correlation_4:76318691-76318719_ENSDARG00000053695.pdf	ENSDARG00000053695	4:76318691-76318719	-0.16	-0.24	0.5821
correlation_4:76320022-76320434_ENSDARG00000053695.pdf	ENSDARG00000053695	4:76320022-76320434	0.04	-0.48	0.2431
correlation_4:76321119-76321242_ENSDARG00000053695.pdf	ENSDARG00000053695	4:76321119-76321242	0.08	-0.55	0.171
correlation_4:76321356-76321835_ENSDARG00000053695.pdf	ENSDARG00000053695	4:76321356-76321835	-0.09	-0.33	0.4279
correlation_4:76321835-76322721_ENSDARG00000053695.pdf	ENSDARG00000053695	4:76321835-76322721	0.07	-0.55	0.171
correlation_4:76325372-76325484_ENSDARG00000053695.pdf	ENSDARG00000053695	4:76325372-76325484	0.09	-0.6	0.1323
correlation_4:76328760-76329102_ENSDARG00000053695.pdf	ENSDARG00000053695	4:76328760-76329102	-0.06	-0.45	0.2675
correlation_4:76329134-76329545_ENSDARG00000053695.pdf	ENSDARG00000053695	4:76329134-76329545	-0.08	-0.34	0.4168
correlation_4:76329715-76330020_ENSDARG00000053695.pdf	ENSDARG00000053695	4:76329715-76330020	0.06	-0.43	0.2992
correlation_4:76330242-76330270_ENSDARG00000053695.pdf	ENSDARG00000053695	4:76330242-76330270	-0.16	-0.24	0.5821
correlation_4:76331534-76331621_ENSDARG00000053695.pdf	ENSDARG00000053695	4:76331534-76331621	-0.14	-0.38	0.3599
correlation_15:40965484-40965554_ENSDARG00000053833.pdf	ENSDARG00000053833	15:40965484-40965554	0.54	0.83	0.0154
correlation_8:53725993-53726063_ENSDARG00000053833.pdf	ENSDARG00000053833	8:53725993-53726063	0.54	0.83	0.0154
correlation_21:26609906-26610054_ENSDARG00000055064.pdf	ENSDARG00000055064	21:26609906-26610054	0.37	-0.74	0.0458
correlation_9:53005255-53005469_ENSDARG00000056439.pdf	ENSDARG00000056439	9:53005255-53005469	-0.03	0.31	0.4618
correlation_24:26177207-26177256_ENSDARG00000057437.pdf	ENSDARG00000057437	24:26177207-26177256	0.22	-0.38	0.3599
correlation_19:20893850-20893993_ENSDARG00000057649.pdf	ENSDARG00000057649	19:20893850-20893993	0.02	-0.36	0.3894
correlation_5:55472666-55472724_ENSDARG00000059658.pdf	ENSDARG00000059658	5:55472666-55472724	0.48	0.76	0.0368
correlation_7:63610820-63611541_ENSDARG00000060610.pdf	ENSDARG00000060610	7:63610820-63611541	-0.11	0.07	0.882
correlation_25:35275952-35276215_ENSDARG00000061131.pdf	ENSDARG00000061131	25:35275952-35276215	-0.17	0.31	0.4618
correlation_9:36199712-36199772_ENSDARG00000061517.pdf	ENSDARG00000061517	9:36199712-36199772	0.26	-0.55	0.171
correlation_9:2176455-2176742_ENSDARG00000063646.pdf	ENSDARG00000063646	9:2176455-2176742	-0.08	-0.36	0.3894
correlation_21:26609906-26610054_ENSDARG00000069266.pdf	ENSDARG00000069266	21:26609906-26610054	0.03	0.45	0.2675
correlation_4:25541089-25541147_ENSDARG00000069311.pdf	ENSDARG00000069311	4:25541089-25541147	0.78	-0.93	0.0022
correlation_1:27241774-27241977_ENSDARG00000069996.pdf	ENSDARG00000069996	1:27241774-27241977	0.63	-0.86	0.0107
correlation_6:20500013-20500137_ENSDARG00000070148.pdf	ENSDARG00000070148	6:20500013-20500137	-0.01	-0.4	0.3268
correlation_11:18665749-18665892_ENSDARG00000070666.pdf	ENSDARG00000070666	11:18665749-18665892	0	0.4	0.3268
correlation_3:15294305-15294634_ENSDARG00000070845.pdf	ENSDARG00000070845	3:15294305-15294634	0.4	-0.93	0.0022
correlation_5:50837222-50837551_ENSDARG00000070845.pdf	ENSDARG00000070845	5:50837222-50837551	0.39	-0.93	0.0022
correlation_22:30763416-30763613_ENSDARG00000071020.pdf	ENSDARG00000071020	22:30763416-30763613	-0.06	-0.25	0.5546
correlation_22:2175327-2175414_ENSDARG00000071790.pdf	ENSDARG00000071790	22:2175327-2175414	0.19	0.52	0.1966
correlation_13:19129914-19130171_ENSDARG00000074597.pdf	ENSDARG00000074597	13:19129914-19130171	0.33	0.76	0.0368
correlation_4:33606868-33608772_ENSDARG00000076252.pdf	ENSDARG00000076252	4:33606868-33608772	-0.11	0.26	0.5364
correlation_13:19129914-19130171_ENSDARG00000076815.pdf	ENSDARG00000076815	13:19129914-19130171	0.47	0.88	0.0072
correlation_7:60570051-60570264_ENSDARG00000079584.pdf	ENSDARG00000079584	7:60570051-60570264	-0.12	0.07	0.882
correlation_7:60570462-60570816_ENSDARG00000079584.pdf	ENSDARG00000079584	7:60570462-60570816	-0.09	-0.31	0.4618
correlation_5:519318-519614_ENSDARG00000089382.pdf	ENSDARG00000089382	5:519318-519614	0.47	-0.88	0.0072
correlation_4:44356268-44356968_ENSDARG00000090769.pdf	ENSDARG00000090769	4:44356268-44356968	0.14	-0.29	0.49
correlation_4:33606868-33608772_ENSDARG00000091013.pdf	ENSDARG00000091013	4:33606868-33608772	-0.03	0.39	0.339
correlation_4:49122953-49123023_ENSDARG00000092329.pdf	ENSDARG00000092329	4:49122953-49123023	0.01	-0.6	0.1323
correlation_4:49122953-49123023_ENSDARG00000094177.pdf	ENSDARG00000094177	4:49122953-49123023	-0.15	-0.04	0.9327
correlation_4:53799494-53799522_ENSDARG00000096139.pdf	ENSDARG00000096139	4:53799494-53799522	0.21	0.51	0.1922
correlation_4:53847311-53847339_ENSDARG00000096139.pdf	ENSDARG00000096139	4:53847311-53847339	0.19	0.51	0.1922
correlation_12:31484241-31484284_ENSDARG00000096728.pdf	ENSDARG00000096728	12:31484241-31484284	NaN	NA	NA
correlation_4:76317209-76317551_ENSDARG00000096762.pdf	ENSDARG00000096762	4:76317209-76317551	0.48	-0.74	0.0458
correlation_4:76317583-76317994_ENSDARG00000096762.pdf	ENSDARG00000096762	4:76317583-76317994	0.5	-0.52	0.1966
correlation_4:76318164-76318469_ENSDARG00000096762.pdf	ENSDARG00000096762	4:76318164-76318469	0.47	-0.76	0.0368
correlation_4:76318691-76318719_ENSDARG00000096762.pdf	ENSDARG00000096762	4:76318691-76318719	0.48	-0.52	0.1966
correlation_4:76320022-76320434_ENSDARG00000096762.pdf	ENSDARG00000096762	4:76320022-76320434	0.4	-0.64	0.0962
correlation_4:76321119-76321242_ENSDARG00000096762.pdf	ENSDARG00000096762	4:76321119-76321242	0.39	-0.74	0.0458
correlation_4:76321356-76321835_ENSDARG00000096762.pdf	ENSDARG00000096762	4:76321356-76321835	0.56	-0.6	0.1323
correlation_4:76321835-76322721_ENSDARG00000096762.pdf	ENSDARG00000096762	4:76321835-76322721	0.47	-0.74	0.0458
correlation_4:76325372-76325484_ENSDARG00000096762.pdf	ENSDARG00000096762	4:76325372-76325484	0.28	-0.67	0.0831
correlation_4:76328760-76329102_ENSDARG00000096762.pdf	ENSDARG00000096762	4:76328760-76329102	0.48	-0.74	0.0458
correlation_4:76329134-76329545_ENSDARG00000096762.pdf	ENSDARG00000096762	4:76329134-76329545	0.5	-0.59	0.1262
correlation_4:76329715-76330020_ENSDARG00000096762.pdf	ENSDARG00000096762	4:76329715-76330020	0.47	-0.76	0.0368
correlation_4:76330242-76330270_ENSDARG00000096762.pdf	ENSDARG00000096762	4:76330242-76330270	0.48	-0.52	0.1966
correlation_4:76331534-76331621_ENSDARG00000096762.pdf	ENSDARG00000096762	4:76331534-76331621	0.31	-0.52	0.1966
correlation_19:19542052-19542196_ENSDARG00000098317.pdf	ENSDARG00000098317	19:19542052-19542196	0.28	0.55	0.171
correlation_19:19543571-19544505_ENSDARG00000098317.pdf	ENSDARG00000098317	19:19543571-19544505	0.24	0.43	0.2992
correlation_4:50965901-50966045_ENSDARG00000098610.pdf	ENSDARG00000098610	4:50965901-50966045	0.27	0.79	0.0279
correlation_4:50966939-50967355_ENSDARG00000098610.pdf	ENSDARG00000098610	4:50966939-50967355	0.03	0.43	0.2992
correlation_4:50969939-50970105_ENSDARG00000098610.pdf	ENSDARG00000098610	4:50969939-50970105	0.04	0.48	0.2431
correlation_9:53005255-53005469_ENSDARG00000099298.pdf	ENSDARG00000099298	9:53005255-53005469	0.26	-0.52	0.1966
correlation_4:36208839-36210191_ENSDARG00000099679.pdf	ENSDARG00000099679	4:36208839-36210191	-0.14	-0.05	0.9349
correlation_4:36211188-36211332_ENSDARG00000099679.pdf	ENSDARG00000099679	4:36211188-36211332	-0.1	0.01	0.9775
correlation_14:15302516-15302667_ENSDARG00000099694.pdf	ENSDARG00000099694	14:15302516-15302667	-0.16	0.17	0.7033
correlation_4:30435596-30435666_ENSDARG00000099837.pdf	ENSDARG00000099837	4:30435596-30435666	-0.01	-0.55	0.171
correlation_4:26794200-26794344_ENSDARG00000099850.pdf	ENSDARG00000099850	4:26794200-26794344	0.25	0.6	0.1323
correlation_4:26794868-26796593_ENSDARG00000099850.pdf	ENSDARG00000099850	4:26794868-26796593	-0.1	0.24	0.5821
correlation_1:27241774-27241977_ENSDARG00000100083.pdf	ENSDARG00000100083	1:27241774-27241977	-0.16	0.14	0.752
correlation_3:8041963-8042424_ENSDARG00000101055.pdf	ENSDARG00000101055	3:8041963-8042424	-0.17	-0.12	0.793
correlation_3:8044207-8044351_ENSDARG00000101055.pdf	ENSDARG00000101055	3:8044207-8044351	-0.02	-0.37	0.3652
correlation_7:63610820-63611541_ENSDARG00000101717.pdf	ENSDARG00000101717	7:63610820-63611541	-0.08	-0.55	0.171
correlation_4:50261062-50261105_ENSDARG00000101829.pdf	ENSDARG00000101829	4:50261062-50261105	-0.15	-0.07	0.8633
correlation_4:50261113-50261204_ENSDARG00000101829.pdf	ENSDARG00000101829	4:50261113-50261204	-0.12	-0.2	0.6432
correlation_14:15302516-15302667_ENSDARG00000102271.pdf	ENSDARG00000102271	14:15302516-15302667	0.03	-0.33	0.4279
correlation_3:8041963-8042424_ENSDARG00000102303.pdf	ENSDARG00000102303	3:8041963-8042424	-0.11	-0.19	0.6646
correlation_3:8044207-8044351_ENSDARG00000102303.pdf	ENSDARG00000102303	3:8044207-8044351	0.05	-0.43	0.2862
correlation_4:30435596-30435666_ENSDARG00000102799.pdf	ENSDARG00000102799	4:30435596-30435666	-0.15	-0.29	0.5008
correlation_14:42346935-42347022_ENSDARG00000102824.pdf	ENSDARG00000102824	14:42346935-42347022	-0.11	0.17	0.7033
correlation_19:19542052-19542196_ENSDARG00000103318.pdf	ENSDARG00000103318	19:19542052-19542196	0.52	-0.67	0.0831
correlation_19:19543571-19544505_ENSDARG00000103318.pdf	ENSDARG00000103318	19:19543571-19544505	0.83	-0.95	0.0011
correlation_4:50965901-50966045_ENSDARG00000103723.pdf	ENSDARG00000103723	4:50965901-50966045	0.16	0.6	0.1323
correlation_4:50966939-50967355_ENSDARG00000103723.pdf	ENSDARG00000103723	4:50966939-50967355	-0.01	0.33	0.4279
correlation_4:50969939-50970105_ENSDARG00000103723.pdf	ENSDARG00000103723	4:50969939-50970105	-0.02	0.45	0.2675
correlation_6:22409734-22409792_ENSDARG00000103900.pdf	ENSDARG00000103900	6:22409734-22409792	0.31	-0.52	0.1966
correlation_4:36208839-36210191_ENSDARG00000104893.pdf	ENSDARG00000104893	4:36208839-36210191	-0.12	0.14	0.752
correlation_4:36211188-36211332_ENSDARG00000104893.pdf	ENSDARG00000104893	4:36211188-36211332	-0.13	0.2	0.6287
