#chr	start	stop	q-value	mean methylation difference	#CpGs	mean g1	mean g2	ID	status
chr6	20500013	20500137	4e-10	-0.213469	16	0.34075	0.55422	DMR_74	hypomethylated
chr6	22409734	22409792	0.00032	-0.197800	10	0.5662	0.764	DMR_75	hypomethylated
chr7	60570051	60570264	0.038	-0.202350	10	0.6124	0.81475	DMR_76	hypomethylated
chr7	60570462	60570816	0.0031	-0.294630	23	0.28243	0.57707	DMR_77	hypomethylated
chr7	63610820	63611541	0.00034	-0.208579	19	0.26484	0.47342	DMR_78	hypomethylated
chr8	3483521	3483894	1.3e-06	-0.157500	14	0.77714	0.93464	DMR_79	hypomethylated
chr8	27105354	27105502	4e-06	-0.206667	18	0.29611	0.50278	DMR_80	hypomethylated
chr8	43636634	43636991	4.9e-05	-0.307700	10	0.5608	0.8685	DMR_81	hypomethylated
chr8	53725993	53726063	2.1e-13	0.318154	13	0.97585	0.65769	DMR_82	hypermethylated
chr9	2176455	2176742	0.00011	0.513875	12	0.76033	0.24646	DMR_83	hypermethylated
chr9	36199712	36199772	0.027	0.114417	12	0.159	0.044583	DMR_84	hypermethylated
chr9	47102827	47102975	4e-06	-0.206222	18	0.29656	0.50278	DMR_85	hypomethylated
chr9	53005255	53005469	1.4e-11	0.272167	12	0.51633	0.24417	DMR_86	hypermethylated
chrUn_KN149690v1	104860	105130	5e-08	-0.359176	17	0.52494	0.88412	DMR_87	hypomethylated
chrUn_KN149690v1	105275	106276	1.5e-46	-0.491160	50	0.29404	0.7852	DMR_88	hypomethylated
chrUn_KN149690v1	107273	107417	4.6e-10	-0.166864	11	0.81382	0.98068	DMR_89	hypomethylated
chrUn_KN149984v1	80375	80599	3.4e-05	-0.227577	13	0.66338	0.89096	DMR_90	hypomethylated
chrUn_KN150108v1	14054	14112	0.00032	-0.197800	10	0.5662	0.764	DMR_91	hypomethylated
chrUn_KN150210v1	5668	5811	0.00082	-0.228800	10	0.3012	0.53	DMR_92	hypomethylated
